predicions,emotion_name,emotion_score
0.9990418553352356,Admiration,0.30143606662750244
0.9990418553352356,Adoration,0.35951894521713257
0.9990418553352356,Aesthetic Appreciation,0.13303720951080322
0.9990418553352356,Amusement,0.5663012862205505
0.9990418553352356,Anger,0.019342994317412376
0.9990418553352356,Anxiety,0.05091596767306328
0.9990418553352356,Awe,0.08594730496406555
0.9990418553352356,Awkwardness,0.1887662410736084
0.9990418553352356,Boredom,0.18527841567993164
0.9990418553352356,Calmness,0.4887895882129669
0.9990418553352356,Concentration,0.23420511186122894
0.9990418553352356,Contemplation,0.13244466483592987
0.9990418553352356,Confusion,0.1323968470096588
0.9990418553352356,Contempt,0.11447872221469879
0.9990418553352356,Contentment,0.3947499990463257
0.9990418553352356,Craving,0.06009988486766815
0.9990418553352356,Determination,0.07189382612705231
0.9990418553352356,Disappointment,0.10834623873233795
0.9990418553352356,Disgust,0.03131697699427605
0.9990418553352356,Distress,0.05802782252430916
0.9990418553352356,Doubt,0.12798801064491272
0.9990418553352356,Ecstasy,0.08627045899629593
0.9990418553352356,Embarrassment,0.0830223560333252
0.9990418553352356,Empathic Pain,0.033319346606731415
0.9990418553352356,Entrancement,0.12884336709976196
0.9990418553352356,Envy,0.04015541076660156
0.9990418553352356,Excitement,0.23988331854343414
0.9990418553352356,Fear,0.028053337708115578
0.9990418553352356,Guilt,0.03284136950969696
0.9990418553352356,Horror,0.012616518884897232
0.9990418553352356,Interest,0.5030971765518188
0.9990418553352356,Joy,0.545856773853302
0.9990418553352356,Love,0.5578660368919373
0.9990418553352356,Nostalgia,0.11003182828426361
0.9990418553352356,Pain,0.037799786776304245
0.9990418553352356,Pride,0.1677076667547226
0.9990418553352356,Realization,0.12137559056282043
0.9990418553352356,Relief,0.14529822766780853
0.9990418553352356,Romance,0.15998029708862305
0.9990418553352356,Sadness,0.06277158856391907
0.9990418553352356,Satisfaction,0.46385252475738525
0.9990418553352356,Desire,0.09484727680683136
0.9990418553352356,Shame,0.04228120297193527
0.9990418553352356,Surprise (negative),0.016286645084619522
0.9990418553352356,Surprise (positive),0.0275042075663805
0.9990418553352356,Sympathy,0.08308517932891846
0.9990418553352356,Tiredness,0.11190749704837799
0.9990418553352356,Triumph,0.08076739311218262
0.999997615814209,Admiration,0.13656747341156006
0.999997615814209,Adoration,0.10759168863296509
0.999997615814209,Aesthetic Appreciation,0.08782127499580383
0.999997615814209,Amusement,0.3099682927131653
0.999997615814209,Anger,0.04703952744603157
0.999997615814209,Anxiety,0.11497911065816879
0.999997615814209,Awe,0.15128476917743683
0.999997615814209,Awkwardness,0.23664875328540802
0.999997615814209,Boredom,0.27890127897262573
0.999997615814209,Calmness,0.3166152536869049
0.999997615814209,Concentration,0.3745087683200836
0.999997615814209,Contemplation,0.1710299253463745
0.999997615814209,Confusion,0.3615461587905884
0.999997615814209,Contempt,0.12157745659351349
0.999997615814209,Contentment,0.1374255120754242
0.999997615814209,Craving,0.13520482182502747
0.999997615814209,Determination,0.11287744343280792
0.999997615814209,Disappointment,0.1443856656551361
0.999997615814209,Disgust,0.06955543905496597
0.999997615814209,Distress,0.11569774150848389
